,name
76155345,1
41209603,1
610925,1
559900,1
685,1
527765,1
526731,1
554952,1
2867,1
715,1
714,1
704,1
697,1
689,1
6802,1
401,1
41430623,1
688,1
1642870,1
681,1
655,1
556,1
494,1
487,1
479,1
659,1
469,1
402,1
475,1
457,1
455,1
403,1
453,1
449,1
675,1
461,1
660,1
458,2
433,2
452,2
450,2
406,3
404,3
444,3
454,3
468,3
446,3
451,3
445,4
440,4
405,4
432,5
437,5
439,5
407,5
408,5
410,5
442,5
436,6
448,6
438,6
424,6
411,6
434,7
441,7
413,7
416,8
435,8
409,8
412,8
414,9
421,9
417,9
423,9
429,9
420,10
428,10
430,10
431,12
418,12
422,12
425,12
426,13
415,13
427,14
419,16
0,200
